id,name,glb_filename,length,width,height,ground_clearance,turning_radius,acceleration_0_to_100,rotation_direction,car_type
1,日産新型ムラーノ2027,murano2027.glb,4900,2180,1725,210,5600,10.0,0,SUV
2,ランドクルーザー250,landCluser250-8.5-20000.glb,4925,2180,1925,230,5800,14.0,0,SUV
3,ランドクルーザーFJ,landCruiserFJ2026.glb,4575,2095,1960,250,5500,12.5,0,SUV
4,マツダ CX-5 2026,mazdaCx5-2026.glb,4690,2060,1695,205,5600,10.5,0,SUV
5,カローラクロス 2025,colloraCross2025.glb,4455,2025,1620,160,5200,9.9,0,SUV
6,カローラクロス 2026,colloraCross2026.glb,4455,2025,1620,160,5200,9.9,0,SUV
7,ハリアー 2025,harrer.glb,4740,2055,1660,190,5500,7.5,0,SUV
8,BYD ラッコ,racco.glb,3395,1615,1800,130,4800,14.0,90,軽自動車
9,日産 サクラ,sakura.glb,3395,1615,1655,145,4800,9.5,0,軽自動車
10,ハイランダー,highlander.glb,4950,2170,1730,210,5700,8.4,0,SUV
11,アルファード 2023,alphard.glb,4995,2050,1935,150,5900,8.8,0,ミニバン
12,エルグランド 2026,elgland.glb,4995,2095,1975,165,5800,7.0,0,ミニバン
13,ランドクルーザー300,landCluiser300.glb,4985,2220,1925,225,5900,6.7,0,SUV
14,TESLA MODEL Y,modely.glb,4760,2090,1625,157,6100,5.0,90,SUV
15,TESLA MODEL Y L,modelyl.glb,4970,2090,1670,225,5900,5.0,90,SUV
16,ランドクルーザー70,landCruiser70.glb,4890,2110,1920,200,6300,13.5,0,SUV
17,シエンタ,sienta.glb,4260,1885,1695,140,5000,10.0,0,セダン
18,LFA,lfa.glb,4505,2075,1220,115,6100,3.7,0,スポーツカー
19,スープラA90,soupla90.glb,4380,2045,1295,118,5200,4.1,0,スポーツカー
20,タコマ SR5 ダブルキャブ,tacoma.glb,5621,2171,1892,272,6430,6.4,90,ピックアップ
21,ラングラー4ドア,wrangler.glb,4785,2134,1828,246,5940,6.5,0,SUV
22,セレナ 2023,selena.glb,4690,1895,1870,135,5700,8.5,0,ミニバン
23,エルグランド 2010,elgland2010.glb,4965,2050,1815,150,5400,8.0,0,ミニバン
24,レクサス LM,lm.glb,5125,2100,1955,140,5900,6.9,0,ミニバン
25,GR86,gr86.glb,4265,1955,1310,130,5400,6.3,90,スポーツカー
26,BRZ,brz.glb,4265,1955,1310,130,5400,6.3,90,スポーツカー
27,ロータス エスプリ,lotas_espri.glb,4350,2040,1150,120,5400,4.3,0,スポーツカー
28,フェアレディZ32,fairladyz32.glb,4310,1970,1245,125,5400,6.0,0,スポーツカー
29,ルーミー,roomy.glb,3700,1810,1735,130,4600,99.0,0,軽自動車
30,ノア 2022,noah.glb,4695,1930,1895,140,5500,9.7,0,ミニバン
31,ステップワゴン 2017,stepwagon2017.glb,4800,1950,1840,145,5400,99.0,0,ミニバン
32,ヴェルファイア 2023,vellfire2023.glb,4995,2050,1945,155,5900,8.8,0,ミニバン
33,オデッセイ,odyssey.glb,4860,2020,1695,145,5400,99.0,0,ミニバン
34,ミライース,miraeth.glb,3395,1615,1500,155,4400,99.0,0,軽自動車
35,コースター,costa_bigvan.glb,6255,2240,2630,999,9999,99.0,0,バス/トラック
36,タンドラ,tandra.glb,5930,2270,1980,999,9999,99.0,0,SUV
37,スマート フォーフォー,smart44.glb,3550,1805,1545,999,9999,99.0,0,軽自動車
38,三菱ふそうキャンター,canter.glb,4690,1855,1975,999,9999,99.0,0,バス/トラック
39,ハイエース,hiace.glb,4695,1855,1980,999,9999,99.0,90,バス/トラック
40,RAV4 2025,rav42025.glb,4600,2055,1680,999,9999,99.0,0,SUV
41,クラウン スポーツ,crownsports.glb,4720,2070,1565,999,9999,99.0,0,セダン
42,プリウス,prius.glb,4600,1970,1430,999,9999,99.0,0,セダン
43,アクア,aqua.glb,4080,1885,1485,999,9999,99.0,0,セダン
